OCC_CLS,PRIM_OCC,PROP_ADDR,PROP_CITY,PROP_ST,PROP_ZIP,LONGITUDE,LATITUDE
Residential,Single Family Dwelling,10 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91513346,41.72798432
Residential,Single Family Dwelling,8 PINE ECHO DRIVE,POUGHKEEPSIE,New York,12601,-73.90116983,41.72781723
Residential,Single Family Dwelling,593 VAN WAGNER ROAD,POUGHKEEPSIE,New York,12603,-73.86565013,41.72752716
Residential,Single Family Dwelling,14 GRADY HILL COURT,POUGHKEEPSIE,New York,12603,-73.86643233,41.72752052
Residential,Single Family Dwelling,12 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91488669,41.72802831
Residential,Single Family Dwelling,45 VAN WYCK DRIVE,POUGHKEEPSIE,New York,12601,-73.90825747,41.72795426
Residential,Manufactured Home,48 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89582513,41.72782778
Residential,Manufactured Home,10 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.8902368,41.72777887
Residential,Single Family Dwelling,21 CORINE DRIVE,POUGHKEEPSIE,New York,12601,-73.89894753,41.72788971
Residential,Manufactured Home,8 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89416718,41.7277974
Residential,Manufactured Home,43 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.8916338,41.72783539
Residential,Single Family Dwelling,14 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91453562,41.72806113
Residential,Single Family Dwelling,33 PETER COOPER DRIVE,POUGHKEEPSIE,New York,12601,-73.90966904,41.72801578
Residential,Manufactured Home,8 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89002095,41.72781347
Residential,Single Family Dwelling,15 GRADY HILL COURT,POUGHKEEPSIE,New York,12603,-73.86707451,41.72761366
Residential,Single Family Dwelling,34 PETER COOPER DRIVE,POUGHKEEPSIE,New York,12601,-73.90910139,41.72801322
Residential,Temporary Lodging,627 VAN WAGNER ROAD,POUGHKEEPSIE,New York,12603,-73.87361761,41.72760206
Commercial,Retail Trade,21 STRATFORD DRIVE,POUGHKEEPSIE,New York,12603,-73.84280324,41.72731586
Residential,Single Family Dwelling,16 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91419724,41.72809467
Residential,Manufactured Home,6 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.88981349,41.72783993
Residential,Manufactured Home,7 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89507098,41.72787133
Residential,Single Family Dwelling,202 VIOLET AVENUE,POUGHKEEPSIE,New York,12601,-73.910457,41.72804424
Residential,Manufactured Home,2 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.88923716,41.72783188
Residential,Manufactured Home,4 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.88950586,41.72786894
Residential,Manufactured Home,40 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89222314,41.72790946
Residential,Single Family Dwelling,18 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91380513,41.72813147
Residential,Manufactured Home,4 VISTA LANE,POUGHKEEPSIE,New York,12603,-73.89062392,41.72790972
Education,Pre-K - 12 Schools,191 VIOLET AVENUE,POUGHKEEPSIE,New York,12601,-73.9118833,41.72779331
Residential,Manufactured Home,10 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89395856,41.72789658
Commercial,Retail Trade,25 WINSLOW GATE ROAD,POUGHKEEPSIE,New York,12601,-73.93151783,41.72831293
Residential,Single Family Dwelling,19 CORINE DRIVE,POUGHKEEPSIE,New York,12601,-73.89860113,41.72800585
Residential,Manufactured Home,69 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89644318,41.72797154
Residential,Manufactured Home,5 VISTA LANE,POUGHKEEPSIE,New York,12603,-73.89118888,41.72794775
